post_id,sentence,after,third,treatments,sentiment,factual
post-79296,[18][19] Concomitant use of retigabine and digoxin may increase serum concentration of the latter.,"In vitro studies suggest that the main metabolite of retigabine acts as a P-glycoprotein inhibitor, and may thus increase absorption and reduce elimination of digoxin.",[,retigabine (retigabine),neu,no
post-10609,Thanks for posting this feedback on Neuromonics - it's interesting to get a longer-term perspective on this particular treatment.,"I'm based in the UK and my understanding is that neuromonics isn't available here but that there is a similar device-system - acoustic neuromodulation reset - which works on similar principles and claims to achieve the same results  through ""stimulating the auditory pathway to promote neural plastic changes"" rather than simple masking.",The neuromoulation device is similarly extremely expensive and also available only privately.,neuromonics (neuromonics),neu,no
post-100739,Have you tried melatonin or something like that for Sleeping.,if it's get to bad go see the doctor see if they can give you something short term to help with sleep.,"you are stronger than you think so don't give up,let us know how things progress Take care shaun",melatonin (melatonin),neu,no
post-136464,"Now, acceptance and not panicking are are both good things and would be part of TRT or CBT.","But they way they phrase it to ""completely ignore it"" or ""immediately forget it"" seems to show a lack of understanding of the lived experience.","(shakes head) If you go to Henry Ford, be sure to report back.",trt (tinnintus retraining therapy) | cbt (cognitive behavioural therapy),neu,no
post-101013,I have completely stopped masking at night now.,,,masking (masking),neu,no
post-96632,You can buy a good laser for 1500 Usd.,"coming out of china, plus 200 Usd for transport.","It´s up to you then, but as I said, sooner or later you will need to a power session.",laser (lllt),neu,no
post-8281,"As stated above, I have had 3 sessions of acupuncture but Im not confident about the results.",,,acupuncture (acupuncture),neg,yes
post-155524,I guess it all depends on your tinnitus level at the point I started taking trobalt.,My level justified any risk if you are even contemplating about side effects then trobalt is not for you and your tinnitus probably it is not that high or you have manage to cope with it.,"Trobalt is to be used as last line of defense a hail Mary before giving up and try to live a half life or ended all, that's how I see it.",trobalt (retigabine),neg,yes
post-18718,Not sure how it would be any more dangerous than a masking device.,"At night, usually start off sleeping with a cheap set of Skullcandy head phones that cover the ear but not tightly.","Keep music lower than my T. Again, audiologist said it was OK. Hope I'm not screwing things up here!",masking (masking),neg,no
post-147546,"I am surprised by the amount of ""blame"" Trobalt has been getting.",I am on day 7 of a very fast taper (already at 1000mg/day) with no real side-effects other than drowsiness and slight cognitive deficits (e.g.,many more typos than usual).,trobalt (retigabine),pos,yes
post-45088,I did TRT and had the noise generators.,I admit that I didn't use them for long.,"I just don't think it matters, in the end.",trt (tinnintus retraining therapy),neu,no
post-155823,"Anyways, I can keep everyone updated on my experiences with the AM-101 study.",Thanks for reading,,am101 (am101),neu,no
post-225186,"Would someone please DM me information about LLLT, such as science articles, associated doctors, best DIY lasers, claimed success stories, common methods of treatment (such as timg vs rest), etc?",There is a lot to dig through and I am sure there are some people who can grab the right links immediately.,,lllt (lllt),neu,no
post-74143,"If you haven't already tried it, I'd suggest giving melatonin (http://en.wikipedia.org/wiki/Melatonin) a shot first.","It's natural, cheap and super effective.",It's also a very potent antioxidant that has been shown to be beneficial for the body and brain in numerous studies.,melatonin (melatonin),pos,yes
post-82302,"The idea is that if you listen to masking sounds, keep them below your T level, so you can habituate while having something to distract your brain for now.","Eventually you will lose the masking, At least thats the idea behind TRT and habituation.",Its very hard not to use some masking at the beginning.,masking (masking),neu,no
post-101587,"By fighting, it doesn't mean by more emotional or negative reactions, but by emulating what others have learned to do - acceptance (not accepting T but the reality of T in my life), positivity (I was very negative person before, hence my years of living with anxiety and panic disorders), patience (letting the body to have enough time to heal), strategies (CBT, mindfulness meditation, abdominal breathing), finding joy amid the pain (willing to peacefully co-exist with T and yet living life abundantly to compensate for any suffering from T).",And you can add to that whatever you like to enjoy.,"Perhaps with your bad back, try some swimming and gentle leisure walk in the park for your bad back.",cbt (cognitive behavioural therapy),neu,no
post-191707,@jacob21  I have been using the neuromodulator since February.,My tinnitus frequency is 9.5 kHz.,Progress is extremely slow.,neuromodulator (neuromodulation),neg,yes
post-166876,"i have to really focus on my T for it to bother me...so id say its in between mild and severely mild most days, sometimes spikes to where i feel i need to mask it but i dont likeusing maskers since they seem to make it worse after i use them, i pray for everyone with T to find relieve from the contant noise no matter how severe or mild it is im praying for all you guys  it will get better",,,maskers (masking),neg,yes
post-146598,Trobalt makes a sedating effect on brain that erradicates any sing of stress and this indirectly also helps to lower the T level.,"-Taking trobalt together with Keppra seems to potentiate its level, but im not sure 100% as every time is different.",Other users also reported that its more powerfull mixed with Keppra      Also worth to mention: its very tricky to rate the T level.,trobalt (retigabine),pos,yes
post-166199,I took a couple oral prednisone  packs and it did nothing for me.,,,prednisone (steroids),neg,yes
post-191891,anyone try acupuncture,,,acupuncture (acupuncture),neu,no
post-178729,At the moment I am reading the LLLT thread to see if I can make my mind up.,,,lllt (lllt),neu,no
post-132859,I will keep posting to provide updates on MuteButton but my experience so far is that Neurmod are not out to sell this for the sake of it and are honest and diligent about who this device is sold to.,Last general note this forum has been a great help to a new T sufferer who was going mad at times with severe depression and anxiety.,,mutebutton (mutebutton),neu,no
post-248031,"I am on fluoxetine, 20 mg every day since october.",It has helped me.,"I do therapy, take walks every day and try to distract my mind.",fluoxetine (antidepressant),pos,yes
post-88202,"Not enough to perforate it though, so she prescribed me Medrol.",Hopefully this will help and I can go back to my usual tinnitus which I was already habituating to..,,medrol (steroids),neu,yes
post-9000,Although the study I read stated that it was an epidural of lidocaine that worked.,,,lidocaine (lidocaine),pos,no
post-78723,"So if before Trobalt i used to pee every 5 hours (yes big bladder), or 8h at night sleep, now im doing everey 7. well no big deal.","I tried to follow the advice of zimichael of ""timing pee"" for example every 4h but I cannot do that, if i dont feel the need to pee I cannot do it, even sitting or whatever, I really tried and waited for it (maybe before i could but not with trobalt).","So i can only wait for the feeling that ""i have to pee"", wich can be 6-8h after last time, and then no problem.",trobalt (retigabine),neu,no
post-104316,"Keppra seems quite safe, as I've had no side-effects and steroids can cause a heck of a lot of issues, so why not try keppra?",,,steroids (steroids),neg,yes
post-83529,Mirtazapine had the same effect on me as you.,It's also not unusual to get an increase in anxiety for the first couple of weeks starting an anti-depressant as your body adjusts to the increase of Seratonin.,This will pass.,mirtazapine (antidepressant),neu,no
post-14372,One of the members on this forum ( @Goofy ) found a hyperbaric chamber run by a non-profit organization in Ohio with affordable fees.,The name of the place is Sara's Garden (http://www.sarasgarden.org/).,"I'm not saying HBOT is the right thing for you, but in case you choose to look into it I wanted to make sure you were better informed.",hyperbaric (hyperbaric oxygen therapy),neu,yes
post-1892,Doctor's Best Extra Strength Ginkgo costs $6.72.,120 mg of Ginkgo per capsule.,120 capsules.,ginkgo (ginkgo),neu,no
post-32236,"Regarding your TRT question, TRT never involves masking.","It does, however, involve sound therapy, and in three of the five TRT categories that sound therapy is delivered via the temporary use of small wearable broadband sound generators.","So one essential component in TRT is sound applied in accordance with TRT category, and the other component is counseling applied in accordance with TRT category.",masking (masking) | trt (tinnintus retraining therapy),neu,no
post-179957,"I went out, drank a lot, basically half a bottle of vodka, combined with 3 red bulls (lots of caffeine) and I slept like a baby without masking or anything.",Today I went to a doctor and she told me I had a fungal infection in the ears and she told me that could cause the ringing.,So she gave me some meds and hopefully that will do it.,masking (masking),neu,no
post-64893,"The reason there is no cure for tinnitus has nothing to do with ""TRT and the such.""","Just out of curiosity, @RichL, how many letters have you written so far this year to various members of congress explaining the physical, psychological, social, and economic impact of tinnitus on you personally and on society as a whole, imploring  them to fund research towards a cure.","If it's ten, then I commend you.",trt (tinnintus retraining therapy),neu,no
post-124776,People it was the trobalt but he took it early onset.,Thats why we try to encorage people to act fast.,,trobalt (retigabine),neu,no
post-46680,"I'm really excited  about your improvements in heairing threshold, that's why I also ordered this home laser.",I give it a try...,"I really think almost everyone appriciate your inputs and thoughts, and we should keep this  board how it is, a great place to share.",laser (lllt),neu,no
post-19852,"Just wish my doctor hadn't tried the Zoloft on me, I was handling it all so much better before it caused mine to really spike.","Good luck, try to stay positive and keep posting.",,zoloft (antidepressant),neg,yes
post-111468,"While I am no fan of TRT in the first place, I at the same time have no doubt that the CHARITE TRT-clinic in Berlin is run according to the highest professional standards.",I have myself experienced on several occasions the difference in knowledge (and care) you get when seeing a professor within some field of medicine (as opposed to regular M.Ds).,"So why is it that @snow86 needs to head down to Frankfurt am Main to see an audiologist with TRT experience just to ""rule out that TRT does not work for Snow86"" (or whatever phrase @Dr. Nagler used yesterday) when he could have gone to a top quality clinic in Berlin?",trt (tinnintus retraining therapy),neu,no
post-69397,I'd be inclined to try out melatonin as its readily available in the pharmacies here.,Probably start off on a smaller dosage and see if it helps me to sleep better.,Any recommendations on the dosage?,melatonin (melatonin),neu,no
post-6187,Lexapro was prescribed.,"I've taken SSRI's in the past (paxil, effexor) but never stayed on them very long because of the sexual side effects.","I'm familiar with the ""dosing period"" required by SSRI's.",lexapro (antidepressant),neu,no
post-183383,"The prednisone is also making it almost impossible for me to sleep, but I'm willing to cope with that if it means I can keep the peace of my ears mostly intact.",,,prednisone (steroids),neu,yes
post-152157,"Sleep deprivation is one sure way to fire up T. Get some bed time masking such as a sound machine or a sound pillow etc., so you can fall asleep better.","Instead of sleep meds from the doctor, you can try natural alternatives such as Camomile tea, Hops, Valerian tablets, Melatonin etc.","Check out this site on using natural herbs for sleep problem: http://www.christopherhobbs.com/lib...alth/herbs-and-natural-remedies-for-insomnia/ Prednisone treatment: Since your tinnitus is so new and may be related to acoustic trauma, you may want to get your doctor/ENT to prescribe a course of prednisone or other corticosteroids.",masking (masking),pos,yes
post-116205,(And the very last thing she needed was the TRT that she came to me for originally!),"OK, so what does all this have to do with Geo?","Well Geo, who lives all the way on the other side of the country, is obviously suffering greatly.",trt (tinnintus retraining therapy),neu,no
post-73240,She also told me that kind of super hearing is gone at 20 the latest and I am 26 so she thinks it's something else but I will give this a try it sure seems better than the soundcure.,I will let you know.,,soundcure (soundcure),neg,yes
post-219022,Any other shared experiences using Melatonin would be appreciated.,Steve,,melatonin (melatonin),neu,no
post-148389,I don't know if Trobalt did much (after one hour now).,I cannot really differentiate between a high-pitched buzzing head of 10/10 and 9/10 or 8/10.,Also 200 mg is probably not enough for this.,trobalt (retigabine),neu,yes
post-168407,"How long were you taking Trobalt, how long have you been off it and has the VS subsided anything at all during this time?",I was happy to have Trobalt in my life but sadly it was the opposite.,Weird that there aren't any reports about this other than double vision.,trobalt (retigabine),neg,yes
post-174721,I have read about Prednisone being taken for Menieres symptoms to and helps to calm them down.,Are these safe to take?,As I wonder if its something I could ask to try.,prednisone (steroids),neu,no
post-227617,@Pleasure_Paulie  how long did you try memantine?,Single shot or 2 weeks?,which dose?,memantine (namenda),neu,no
post-162921,TRT is a heap of dogshit.,I've ever seen TRT clinicians directing people away from the AM-101.,Auris-Medical had contact this TRT clinic as well.,trt (tinnintus retraining therapy),neg,yes
post-106770,"Along the way, managed Tinnitus with sleep meds and masking (Trazodone & Lunesta).",Initially tried Xanax.,Cut Tinnitus in half but the wearoff was awful and Tinnitus raged.,masking (masking),neu,yes
post-208243,"Also, I have gotten off of Ginkgo Biloba for the past couple of weeks (I have ordered my second batch) since I have not received my new shipment.","Although I have spoken about how I personally feel that Ginkgo did in fact have positive benefits for me, I have maintained a pretty good diet so far.",That includes eating about 1 meal a day of salad with no dressing.,ginkgo (ginkgo) | biloba (ginkgo),pos,yes
post-159232,"So no masking with TV, car noise, music, etc.","Since it is very high-pitched for me (around 15 kHz or higher), I can only partly mask with cricket sounds.","But here I also have to set them loud, so it is just another annoyance.",masking (masking),neg,yes
