subforum,post_id,text,timestamp,author_id,url,thread_id,position_in_thread,agrees,sentence,treatments,sentiment,factual
introduce-yourself.11,post-258044,,2017-06-26T23:05:00,christian78.2764,threads/prednisone-made-my-tinnitus-worse.14119/#post-258044,prednisone-made-my-tinnitus-worse.14119,26,0,"I use trobalt to calm it and clonazepam, but trobalt kills it in morning so I don't take anything for after, just clonazepam sometimes... It fluctuates based on stress and how tired I am or if i did not sleep long enough. and progressively getting worse cos my brain they say is 147 IQ and i think too much and then brain is like under ""constant stress"" i don't know but it gets worse and worse","retigabine, clonazepam",neg,yes
introduce-yourself.11,post-258026,,2017-06-26T22:15:00,christian78.2764,threads/prednisone-made-my-tinnitus-worse.14119/#post-258026,prednisone-made-my-tinnitus-worse.14119,23,0,I know day after taking Voxra (Wellbutrin) I got small tinnitus but I continued and 3rd day it was raging,antidepressant,neg,yes
support.2,post-257953,,2017-06-26T18:42:00,jadebug.24813,threads/is-a-second-habituation-possible-for-me.22453/#post-257953,is-a-second-habituation-possible-for-me.22453,12,0,I had an appointment with a wonderful audiologist who spent an hour with me going through all of my fears that I had with tinnitus and told me that I had no problems medically and that the lexapro would not cause any permanent damage. She seems to think that the lexapro caused an increased sensitivity/awareness to my tinnitus because often ADs make individuals more anxious before they take effect and I have become much more aware of my tinnitus and started obsessing over it again. She matched my sound to around 12khz and helped create a sound on an app that will help me mask it.,antidepressant,neg,yes
support.2,post-257953,,2017-06-26T18:42:00,jadebug.24813,threads/is-a-second-habituation-possible-for-me.22453/#post-257953,is-a-second-habituation-possible-for-me.22453,12,0,She seems to think that the lexapro caused an increased sensitivity/awareness to my tinnitus because often ADs make individuals more anxious before they take effect and I have become much more aware of my tinnitus and started obsessing over it again. She matched my sound to around 12khz and helped create a sound on an app that will help me mask it. It has helped a little but I still feel like I am in distress and cannot relax.,antidepressant,neg,yes
support.55,post-257896,,2017-06-26T10:40:00,melike.25162,threads/is-this-hyperacusis-a-little-freaked-out.22451/#post-257896,is-this-hyperacusis-a-little-freaked-out.22451,16,0,But I'm still not confident to say it does so due to the rTMS sessions since it still fluctuates. I still need more time.,transcranial magnetic stimulation,neg,yes
introduce-yourself.11,post-257890,,2017-06-26T10:04:00,pomme.24000,threads/frightened-and-scared.22459/#post-257890,frightened-and-scared.22459,3,0,"I am trying to use masking but not with headphones as using them probably caused the issues I am experiencing. I have fullness in both ears as well. Although the tinnitus is bad, I feel I can tough it out against that but the Hyperacusis is another matter.",masking,neg,yes
treatments.13,post-257841,,2017-06-26T03:32:00,greg-sacramento.24578,threads/magnesium.11166/page-4#post-257841,magnesium.11166,95,0,Zinc is worthless for tinnitus. Have you ever read some of the product reviews for anything on Amazon! Many 5 stars comments are written by company employees or hired writers.,zinc,neg,no
support.2,post-257830,,2017-06-26T01:13:00,jadebug.24813,threads/is-a-second-habituation-possible-for-me.22453/#post-257830,is-a-second-habituation-possible-for-me.22453,5,0,@Michael Leigh  I talked with my doctor about the lexapro and she told me to stop the medication and upon stopping it the sound did seem to go down a lot it was unbearable initially but it still has not gone down to my normal level. She told me that it sh,antidepressant,neg,yes
support.2,post-257830,,2017-06-26T01:13:00,jadebug.24813,threads/is-a-second-habituation-possible-for-me.22453/#post-257830,is-a-second-habituation-possible-for-me.22453,5,0,She told me that it should go back down to the normal level and that there is no way for the lexapro to cause any permenent damage especially with only being on a low dose for two weeks. She wasn't very concerned with the ringing and just brushed it off and told me I'd get over it since I already had it I can't blame the medication. She tried to prescribe me buspar for anxiety but that also lists tinnitus as a common side effect so I haven't taken it because if my T gets any louder my depression and anxiety will only increase.,antidepressant,neg,yes
support.2,post-257830,,2017-06-26T01:13:00,jadebug.24813,threads/is-a-second-habituation-possible-for-me.22453/#post-257830,is-a-second-habituation-possible-for-me.22453,5,0,The only thing different in my routine was the lexapro and when googling lexapro and tinnitus I found many horror stories about how the T is permanent and that has really freaked me out.,antidepressant,neg,no
support.2,post-257824,,2017-06-26T00:18:00,michael-leigh.3134,threads/is-a-second-habituation-possible-for-me.22453/#post-257824,is-a-second-habituation-possible-for-me.22453,2,2,"@jadebug If it is the lexapro that has caused the increase in your tinnitus, then you might want to have a word with your doctor, as changing to a different medication might reduce it? Tinnitus doesn't usually get worse without something causing it. If it",antidepressant,neg,no
