subforum,post_id,text,timestamp,author_id,url,thread_id,position_in_thread,agrees,before,sentence,after,third,treatments,sentiment (pos/neg/neu),factual (yes/no)
support.55,post-225449,,"Jan 8, 2017 at 12:10 PM",lapidus.4031,threads/hyperacusis-%E2%80%94-can-normal-sounds-cause-damage-in-a-person-who-has-tinnitus-and-hyperacusis.19110/page-2#post-225449,hyperacusis-%E2%80%94-can-normal-sounds-cause-damage-in-a-person-who-has-tinnitus-and-hyperacusis.19110,33,0,"Yeah, in the LLLT thread.",He's ordered the Lucky Laser and is starting a treatment plan with the help of Zazzio.,,,laser (lllt),pos,no
support.2,post-92198,,"Jan 27, 2015 at 9:50 AM",undecided.4741,threads/drugs-that-lower-tinnitus-volume.7984/#post-92198,drugs-that-lower-tinnitus-volume.7984,2,1,Some others use corticosteroids.,IV lidocaine.,Dopamine agonists.,Neurontin.,lidocaine (lidocaine),neutral,no
alternative-treatments-and-research.27,post-192894,,"Jul 12, 2016 at 6:58 AM",reinier.12659,threads/diy-low-level-laser-therapy-for-tinnitus-on-a-budget-%E2%80%94-lllt-under-100.15342/page-4#post-192894,diy-low-level-laser-therapy-for-tinnitus-on-a-budget-%E2%80%94-lllt-under-100.15342,98,0,But I am always interested to experiment.,I will try to follow exactly the same procedure except starting the laser an listen what happens.,"Also it is my experience in everyday life, my tinnitus gets noticeable after the level increased.",So thinking about tinnitus when it is at a low level does not appear to influence my tinnitus.,laser (lllt),neutral,yes
research-news.4,post-49419,,"Jun 3, 2014 at 8:22 AM",johndoe.3143,threads/am-101-tactt1-results-released.1994/page-35#post-49419,am-101-tactt1-results-released.1994,1041,0,,"So @nills, you received one shot of am-101 in what dosage?",Did your Tinnitus come from noise trauma?,How many month's in did you get the shot of am-101?,am101 (am101),neutral,no
introduce-yourself.11,post-149107,,"Nov 24, 2015 at 2:08 PM",marc-stegeman.12431,threads/new-member.12140/,new-member.12140,1,0,"My immediate goal is to get my body into better shape, reduce stress, try to stay positive (not always easy), and hope that this raging tinnitus will get better with time.","Meantime, has anybody had any success using techniques like acoustic neuromodulation or on ketonic diet to boost the brain's potassium channels?",Thanks,,neuromodulation (neuromodulation),neutral,no
support.2,post-144311,,"Oct 24, 2015 at 8:26 AM",danny-boy.5844,threads/which-one-is-the-truth-im-confused-can-drugs-or-homeopathic-products-be-harmful-for-the-brain.11696/#post-144311,which-one-is-the-truth-im-confused-can-drugs-or-homeopathic-products-be-harmful-for-the-brain.11696,2,0,Go to: Conclusions Tinnitus pharmacological therapies include a wide range of proposed medicaments.,"Among others, zinc,106 melatonin,75 lidocaine,107 botulinum toxin,108 antioxidants minerals, vitamins, ginkgo biloba, and other herbal remedies,109 have been considered in the treatment of tinnitus.","Indeed, psychological (eg, cognitive behavioral therapy) and retraining approaches have been suggested repeatedly as preferred integrative or stand-alone treatments.110 However, psychopharmacological agents are often considered choices as well, although it is difficult to assess their efficacy.","In fact, major limits influence the validity of available literature evidence.",ginkgo (ginkgo) | biloba (ginkgo),neutral,yes
treatments.13,post-85207,,"Dec 24, 2014 at 11:15 PM",1mw.6424,threads/retigabine-trobalt-potiga-%E2%80%94-general-discussion.5074/page-123#post-85207,retigabine-trobalt-potiga-%E2%80%94-general-discussion.5074,3672,0,,I can't find easy the retigabine where can i get this powder of retigabine ?,One chinese from alibaba want 1200$ for 100g more expensive than trobalt but can give me without prescriptions/collisions.Also quality is chinese so there is a risk.,Do you know some valuable seller to buy in good price whithout prescriptions and collisions ?,retigabine (retigabine),neutral,no
support.2,post-5464,,"Nov 30, 2012 at 1:39 AM",karl.287,threads/having-real-trouble.760/#post-5464,having-real-trouble.760,12,0,All of this takes time.,These antidepressants take a while to kick in.,They will help you get sleep.,Lack of sleep is a major factor that I had at first.,antidepressants (antidepressant),pos,yes
support.2,post-9570,,"Mar 11, 2013 at 4:38 AM",just1morething.874,threads/medications-used-for-tinnitus.1179/#post-9570,medications-used-for-tinnitus.1179,4,0,,"Grant1, I am glad you returned your SoundCure, the name sounded too good to be true.",Have you tried a MP3 player for white noise & nature sounds etc.,?,soundcure (soundcure),neutral,no
support.2,post-59553,,"Aug 9, 2014 at 2:18 PM",bobdigi.4429,threads/does-tinnitus-get-worse-over-time.5929/#post-59553,does-tinnitus-get-worse-over-time.5929,25,1,You'll rely on them.,"Then you'll be habituating,  then soon as you come off the antidepressants,  you'll feel like you Neen them to cope with the tinnitus.",Then your habituation will take a few steps backwards.,,antidepressants (antidepressant),neg,yes
